"","Anon.Student.Id","Problem.Name","Day","Condition","hints_req","num_errors","minSpent","Inc->Cor","Inc->Hint","Inc->Inc","NumBOH"
"1","Stu_0219136de66a5f3a0db28b2dd02a3dda",1,"04/26/10","moderate",0,0,0.2,0,0,0,0
"34","Stu_0219136de66a5f3a0db28b2dd02a3dda",2,"04/26/10","moderate",2,2,2.88333333333333,0.5,0.5,0,0
"67","Stu_0219136de66a5f3a0db28b2dd02a3dda",3,"04/26/10","moderate",0,0,1.08333333333333,0,0,0,0
"95","Stu_0219136de66a5f3a0db28b2dd02a3dda",4,"04/26/10","moderate",0,3,1.36666666666667,0.666666666666667,0,0.333333333333333,0
"98","Stu_0219136de66a5f3a0db28b2dd02a3dda",5,"04/27/10","moderate",0,0,0.3,0,0,0,0
"101","Stu_0219136de66a5f3a0db28b2dd02a3dda",6,"04/27/10","moderate",1,4,3.35,0.75,0,0.25,0
"104","Stu_0219136de66a5f3a0db28b2dd02a3dda",7,"04/27/10","moderate",0,3,2.28333333333333,0.666666666666667,0,0.333333333333333,0
"107","Stu_0219136de66a5f3a0db28b2dd02a3dda",8,"04/27/10","moderate",0,0,1,0,0,0,0
"110","Stu_0219136de66a5f3a0db28b2dd02a3dda",9,"04/27/10","moderate",0,2,2.83333333333333,1,0,0,0
"4","Stu_0219136de66a5f3a0db28b2dd02a3dda",10,"04/27/10","moderate",0,1,1.91666666666667,1,0,0,0
"7","Stu_0219136de66a5f3a0db28b2dd02a3dda",11,"04/27/10","moderate",0,3,1.88333333333333,0.333333333333333,0,0.666666666666667,0
"10","Stu_0219136de66a5f3a0db28b2dd02a3dda",12,"04/27/10","moderate",0,2,0.666666666666667,1,0,0,0
"13","Stu_0219136de66a5f3a0db28b2dd02a3dda",13,"04/27/10","moderate",0,8,2.61666666666667,0.75,0,0.25,0
"16","Stu_0219136de66a5f3a0db28b2dd02a3dda",14,"04/27/10","moderate",0,1,2,1,0,0,0
"19","Stu_0219136de66a5f3a0db28b2dd02a3dda",15,"04/27/10","moderate",0,0,1.28333333333333,0,0,0,0
"22","Stu_0219136de66a5f3a0db28b2dd02a3dda",16,"04/27/10","moderate",0,3,0.75,0.666666666666667,0,0.333333333333333,0
"25","Stu_0219136de66a5f3a0db28b2dd02a3dda",17,"04/27/10","moderate",3,3,1.13333333333333,0.333333333333333,0.333333333333333,0.333333333333333,0
"28","Stu_0219136de66a5f3a0db28b2dd02a3dda",18,"04/27/10","moderate",3,2,1.11666666666667,0.5,0.5,0,0
"31","Stu_0219136de66a5f3a0db28b2dd02a3dda",19,"04/27/10","moderate",0,3,1.3,0.666666666666667,0,0.333333333333333,0
"37","Stu_0219136de66a5f3a0db28b2dd02a3dda",20,"04/27/10","moderate",0,0,0.15,0,0,0,0
"40","Stu_0219136de66a5f3a0db28b2dd02a3dda",21,"04/27/10","moderate",0,0,0.183333333333333,0,0,0,0
"43","Stu_0219136de66a5f3a0db28b2dd02a3dda",22,"04/27/10","moderate",0,4,0.633333333333333,0.5,0,0.5,0
"46","Stu_0219136de66a5f3a0db28b2dd02a3dda",23,"04/27/10","moderate",0,0,0.233333333333333,0,0,0,0
"49","Stu_0219136de66a5f3a0db28b2dd02a3dda",24,"04/27/10","moderate",0,0,0.316666666666667,0,0,0,0
