sort,Sample Name,Anon Student Id,Condition,Session Id,Time,Day,monthVal,dayVal,date,Time Zone,Duration (sec),myDuration,myDuration_woTPA,Student Response Type,Student Response Subtype,studentResponseType_woTPA,Tutor Response Type,Tutor Response Subtype,Level(ProblemSet),Problem Name,Step Name,Attempt At Step,Outcome,Outcome_woTPA,Selection,Action,Input,Feedback Text,Feedback Classification,Help Level,Total Num Hints,KC(Default),KC Category(Default),KC(Single-KC),KC Category(Single-KC),KC(Unique-step),KC Category(Unique-step),School,Class,CF(tool_event_time),CF(tutor_event_time)
37917,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,28:53.0,05/19/10,5,19,5/19/10,UTC,0,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,startButton ButtonPressed,1,Correct,,startButton,ButtonPressed,-1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:28:53.888 UTC,2010/05/19 13:28:53.888 UTC
37918,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,28:53.0,05/19/10,5,19,5/19/10,UTC,0,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,_root goToStep,1,Correct,,_root,goToStep,1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:28:53.873 UTC,2010/05/19 13:28:53.888 UTC
37919,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:06.0,05/19/10,5,19,5/19/10,UTC,6.5,00:13.0,00:13.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,pie1_1 PieChartSubmit,1,Correct,Correct,pie1_1,PieChartSubmit,5-May,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:06.357 UTC,2010/05/19 13:29:06.373 UTC
37920,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:06.0,05/19/10,5,19,5/19/10,UTC,6.5,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,_root goToStep,2,Correct,,_root,goToStep,2,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:06.388 UTC,2010/05/19 13:29:06.388 UTC
37921,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:08.0,05/19/10,5,19,5/19/10,UTC,1,00:02.0,00:02.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,pie1_2 PieSliceDrop,1,Correct,Correct,pie1_2,PieSliceDrop,5-Jan,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:08.513 UTC,2010/05/19 13:29:08.544 UTC
37922,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:08.0,05/19/10,5,19,5/19/10,UTC,1,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,_root goToStep,3,Correct,,_root,goToStep,3,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:08.544 UTC,2010/05/19 13:29:08.544 UTC
37923,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:11.0,05/19/10,5,19,5/19/10,UTC,3,00:03.0,00:03.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,fract1_num UpdateTextArea,1,Correct,Correct,fract1_num,UpdateTextArea,1,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:11.794 UTC,2010/05/19 13:29:11.998 UTC
37924,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:15.0,05/19/10,5,19,5/19/10,UTC,4,00:04.0,00:04.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,fract1_denom UpdateTextArea,1,Correct,Correct,fract1_denom,UpdateTextArea,5,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:15.997 UTC,2010/05/19 13:29:16.13 UTC
37925,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:16.0,05/19/10,5,19,5/19/10,UTC,1,00:01.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,_root goToStep,4,Correct,,_root,goToStep,4,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:16.13 UTC,2010/05/19 13:29:16.13 UTC
37926,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:22.0,05/19/10,5,19,5/19/10,UTC,3,00:06.0,00:06.0,ATTEMPT,,ATTEMPT,RESULT,,FractionStudy_BL1_ProblemSet1,1,combo1 UpdateComboBox,1,Correct,Correct,combo1,UpdateComboBox,the original circle diagram,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:22.701 UTC,2010/05/19 13:29:22.763 UTC
37927,Fractions All data 1,Stu_08d8c87c555e0637063113ccde57c63f,blocked,S9eb1171319811ec655259a9152f36e03,29:22.0,05/19/10,5,19,5/19/10,UTC,3,00:00.0,,ATTEMPT,tutor-performed,,RESULT,,FractionStudy_BL1_ProblemSet1,1,_root goToStep,5,Correct,,_root,goToStep,5,,,,,,,Single-KC,,,,West Allegheny Schools,West Allegheny BL1,2010/05/19 13:29:22.763 UTC,2010/05/19 13:29:23.154 UTC
